"133","LARYNGEAL MIRROR WITHOUTHANDLE, FIG.9, 28MM","HB 0039","HEBU",,,,"GERMANY","1",,"262500","1"
"134","LARYNGEAL MIRROR WITHOUTHANDLE, FIG.10, 30MM","HB 0040","HEBU",,,,"GERMANY","1",,"262500","1"
"135","BABINSKY PERCUSSION HAMMER,25CM, 10""","HB 0045","HEBU",,,,"GERMANY","1",,"1717200","1"
"136","RUBBER ONLY FOR BABINSKYHAMMER","HB 0045-01","HEBU",,,,"GERMANY","1",,"307800","1"
"137","TAYLOR PERCUSSION HAMMER,20CM, 8""","HB 0046","HEBU",,,,"GERMANY","1",,"475200","1"
"138","BERLINER PERCUSSION HAMMER,20CM, 8""","HB 0047","HEBU",,,,"GERMANY","1",,"1303600","1"
"139","TRAUBE PERCUSSION HAMMER,17CM, 6 3/4""","HB 0048","HEBU",,,,"GERMANY","1",,"1110300","1"
"140","TROEMNER PERCUSSION HAMMER,24CM, 9 1/2""","HB 0049","HEBU",,,,"GERMANY","1",,"2999200","1"
"141","BUCK PERCUSSION HAMMER, 18CM,7""","HB 0050","HEBU",,,,"GERMANY","1",,"1280900","1"
"142","DÉJERINE PERCUSSION HAMMER,WITHOUT NEEDLE, 20CM, 8""","HB 0051","HEBU",,,,"GERMANY","1",,"1791800","1"
"143","DÉJERINE PERCUSSION HAMMER,WITH NEEDLE, 21CM, 8 1/4""","HB 0052","HEBU",,,,"GERMANY","1",,"2046600","1"
"144","RABINER PERCUSSION HAMMER,23CM, 9""","HB 0053","HEBU",,,,"GERMANY","1",,"1791800","1"
"145","CAROLL FINGER GONIOMETER, 14CM5 1/2"", ONLY FOR COMPARISON""MEASUREMENT","HB 0056","HEBU",,,,"GERMANY","1",,"3282200","1"
"146","COLLIN DYNAMOMETER FORCHILDREN, 12,5CM, 5""ONLY FOR COMPARISON MEASURE-MENT","HB 0057","HEBU",,,,"GERMANY","1",,"6400100","1"
"147","COLLIN DYNAMOMETER FOR ADULTS,12,5CM, 5""ONLY FOR COMPARISON MEASURE-MENT","HB 0058","HEBU",,,,"GERMANY","1",,"6655000","1"
"148","MÖLTGEN GONIOMETER, 24CM,9 1/2"", ONLY FOR COMPARISON""MEASUREMENT","HB 0059","HEBU",,,,"GERMANY","1",,"4196900","1"
"149","WARTENBERG NEUROLOGICALPINWHEEL, 17CM, 6 3/4""","HB 0060","HEBU",,,,"GERMANY","1",,"2134100","1"
"150","UNIVERSAL CALIPER, MEASURING RANGE 15CM,ONLY FOR COMPARISON""MEASUREMENT","HB 0061","HEBU",,,,"GERMANY","1",,"4739100","1"
"151","UNIVERSAL CALIPER, SYNTHETIC,15CM,ONLY FOR COMPARISON MEASURE-MENT","HB 0062","HEBU",,,,"GERMANY","1",,"829500","1"
"152","TAPE MEASURE OF LINEN, 1,8M,60""ONLY FOR COMPARISON MEASURE-MENT","HB 0064","HEBU",,,,"GERMANY","1",,"570300","1"
"153","RULER, METAL, 15CM, 6""ONLY FOR COMPARISON MEASURE-MENT","HB 0066","HEBU",,,,"GERMANY","1",,"256000","1"
"154","RULER, METAL, 20CM, 8""ONLY FOR COMPARISON MEASURE-MENT","HB 0067","HEBU",,,,"GERMANY","1",,"281900","1"
"155","RULER, METAL, 30CM, 12""ONLY FOR COMPARISON MEASURE-MENT","HB 0068","HEBU",,,,"GERMANY","1",,"331600","1"
"156","RULER, METAL, 50CM, 20""ONLY FOR COMPARISON MEASURE-MENT","HB 0069","HEBU",,,,"GERMANY","1",,"819800","1"
"157","RULER, METAL, 15CM, 6""ONLY FOR COMPARISON MEASURE-MENT","HB 0070","HEBU",,,,"GERMANY","1",,"1989400","1"
"158","PINARD STETHOSCOPE OF WOOD,30CM, 11""","HB 0071","HEBU",,,,"GERMANY","1",,"1023900","1"
"159","PINARD STETHOSCOPE OF WOOD,18CM, 7""","HB 0072","HEBU",,,,"GERMANY","1",,"823000","1"
"160","BABY-DUPLEX STETHOSCOPE,EXTRA LIGHTWEIGHT","HB 0075","HEBU",,,,"GERMANY","1",,"2553200","1"
"161","DUPLEX STETHOSCOPE,EXTRA LIGHTWEIGHT","HB 0076","HEBU",,,,"GERMANY","1",,"2639600","1"
"162","ANESTOPHON STETHOSCOPE","HB 0077","HEBU",,,,"GERMANY","1",,"1589800","1"
"163","RIRAP STETHOSCOPE","HB 0078","HEBU",,,,"GERMANY","1",,"3382600","1"
"164","CARDIOPHON STETHOSCOPE","HB 0079","HEBU",,,,"GERMANY","1",,"9579600","1"
"165","BIG BEN® BLOOD PRESSURE MANOMETERTABLE MODEL, CUFF FOR ADULTS","HB 0080","HEBU",,,,"GERMANY","1",,"8660600","1"
"166","BIG BEN® BLOOD PRESSURE MANOMETER,TABLE MODEL, CUFF FOR CHILDREN","HB 0080-01","HEBU",,,,"GERMANY","1",,"8660600","1"
"167","BIG BEN® BLOOD PRESSURE MANOMETER,TABLE MODEL, CUFF FORSTRONG ARMS","HB 0080-02","HEBU",,,,"GERMANY","1",,"9346400","1"
"168","PRECISA MANOMETER WITH VELCROCUFF","HB 0084","HEBU",,,,"GERMANY","1",,"5511300","1"
"169","MINIMUS III MANOMETER WITHHOOK CUFF","HB 0085","HEBU",,,,"GERMANY","1",,"7041600","1"
"170","MINIMUS III MANOMETER WITHVELCRO CUFF","HB 0086","HEBU",,,,"GERMANY","1",,"6374200","1"
"171","FINE SWISS TWEEZERS, NO.112CM, 4 3/4""","HB 0101","HEBU",,,,"GERMANY","1",,"2245400","1"
"172","FINE SWISS TWEEZERS, NO.212CM, 4 3/4""","HB 0102","HEBU",,,,"GERMANY","1",,"2391200","1"
"173","FINE SWISS TWEEZERS, NO.312CM, 4 3/4""","HB 0103","HEBU",,,,"GERMANY","1",,"2391200","1"
